Title,Summary
The Great Gatsby,"A story of Jay Gatsby, a mysterious millionaire, and his love for Daisy Buchanan."
To Kill a Mockingbird,"A young girl named Scout grows up in the racially charged South during the 1930s."
1984,"A dystopian novel about a totalitarian regime that controls every aspect of life."
Moby Dick,"The narrative of Captain Ahab's obsessive quest to kill the white whale, Moby Dick."
Pride and Prejudice,"The story of Elizabeth Bennet and her romantic clashes with Mr. Darcy."
The Catcher in the Rye,"A teenager, Holden Caulfield, recounts his journey through New York City after being expelled from school."
Brave New World,"A futuristic world where human emotions and individuality are suppressed in favor of societal stability."
The Hobbit,"Bilbo Baggins embarks on a quest with a group of dwarves to reclaim their homeland and treasure from the dragon Smaug."
Fahrenheit 451,"A fireman named Montag questions his role in a society where books are banned and burned."
Jane Eyre,"An orphaned girl becomes a governess and falls in love with her enigmatic employer, Mr. Rochester."
The Alchemist,"A shepherd named Santiago journeys to Egypt after having a recurring dream of finding treasure there."
Little Women,"Four sisters navigate life, love, and personal challenges in Civil War-era Massachusetts."
Crime and Punishment,"Raskolnikov, a former student, commits a murder and wrestles with guilt and morality."
War and Peace,"The lives of several families intersect during Napoleon's invasion of Russia."
Anna Karenina,"The tragic tale of Anna, a married woman who falls in love with a dashing officer, Count Vronsky."
The Odyssey,"Odysseus struggles to return home to Ithaca after the Trojan War, facing numerous obstacles."
Wuthering Heights,"The tumultuous romance between Heathcliff and Catherine Earnshaw unfolds on the Yorkshire moors."
Great Expectations,"The story of Pip, an orphan, and his growth from a poor child to a gentleman with mysterious benefactors."
The Picture of Dorian Gray,"A young man remains eternally youthful while a portrait of him ages and reflects his sins."
Les Misérables,"Jean Valjean, a former convict, seeks redemption while being pursued by Inspector Javert in post-revolutionary France."
The Grapes of Wrath,"A family of tenant farmers travels to California during the Great Depression in search of a better life."
Dracula,"Jonathan Harker encounters the mysterious Count Dracula, who seeks to spread vampirism in England."
Frankenstein,"Victor Frankenstein creates a living being from dead body parts, with tragic consequences."
The Adventures of Huckleberry Finn,"Huck Finn and Jim, a runaway slave, travel down the Mississippi River in search of freedom."
Don Quixote,"A delusional nobleman and his squire, Sancho Panza, embark on comical adventures as self-proclaimed knights."
The Road,"A father and son journey through a post-apocalyptic wasteland, relying on each other for survival."
The Book Thief,"A young girl in Nazi Germany finds solace in stealing books and sharing them with others."
Beloved,"A former slave is haunted by the ghost of her dead daughter and the trauma of her past."
Gone with the Wind,"Scarlett O'Hara navigates love and survival during the Civil War and Reconstruction in the South."
The Hunger Games,"Katniss Everdeen volunteers for a brutal televised survival competition to save her sister."
Dune,"Paul Atreides discovers his destiny as the ruler of Arrakis, the desert planet rich in the spice melange."
Life of Pi,"A boy named Pi survives a shipwreck and shares a lifeboat with a Bengal tiger named Richard Parker."
Ender's Game,"A young genius, Ender Wiggin, is trained to command humanity's fleet against an alien threat."
The Kite Runner,"A story of friendship, betrayal, and redemption set in Afghanistan."
The Shining,"A family stays at a haunted hotel, and the father descends into madness."
It,"A group of children confronts an ancient evil that takes the form of a clown named Pennywise."
The Lord of the Rings,"Frodo and his companions embark on a quest to destroy the One Ring and defeat Sauron."
The Chronicles of Narnia,"A group of siblings discover a magical world and help fight against an evil witch."
The Handmaid's Tale,"In a dystopian future, women are subjugated and valued only for their fertility."
A Tale of Two Cities,"The lives of Charles Darnay and Sydney Carton intertwine during the French Revolution."
The Time Traveler's Wife,"A love story between a man with a genetic disorder that causes him to time travel and his wife."
The Girl with the Dragon Tattoo,"A journalist and a hacker team up to solve a decades-old disappearance in Sweden."
Shantaram,"An escaped convict starts a new life in the underworld of Bombay, India."
The Secret Garden,"A neglected girl discovers a hidden garden and transforms it into a place of beauty and healing."
Percy Jackson & the Olympians,"A boy discovers he is the son of Poseidon and embarks on a quest to prevent a war among the gods."
Eragon,"A farm boy finds a dragon egg and discovers he is part of an ancient order of dragon riders."
A Game of Thrones,"Noble families vie for power in the Seven Kingdoms of Westeros, where betrayal and intrigue reign."
The Maze Runner,"A boy wakes up in a mysterious maze with no memory and must work with others to escape."
The Fault in Our Stars,"Two teens with cancer meet at a support group and fall in love."
The Perks of Being a Wallflower,"A shy teenager navigates friendship, love, and mental health in high school."
